kospi,kosdaq,sp500,nasdaq,exchangerate,bok,price_gold,price_btc
1928.61,668.17,2881.19,8979.66,1219.61,0.75,66790.0,12010000.0
1945.82,682.3,2929.8,9121.32,1219.65,0.75,67420.0,11878000.0
1935.4,685.04,2930.32,9192.34,1222.91,0.75,67200.0,10437000.0
1922.17,684.21,2870.12,9002.55,1226.64,0.75,67280.0,10675000.0
1940.42,691.53,2820.0,8863.17,1227.37,0.75,67380.0,11262000.0
1924.96,690.57,2852.5,8943.72,1227.03,0.75,67780.0,11784000.0
1927.28,691.93,2863.7,9014.56,1232.69,0.75,68650.0,11322000.0
1937.11,690.85,2953.91,9234.83,1225.13,0.75,69840.0,11687000.0
1980.61,696.36,2922.94,9185.1,1225.04,0.75,68650.0,11728000.0
1989.64,708.76,2971.61,9375.78,1227.26,0.75,69340.0,11523000.0
1998.31,716.02,2948.51,9284.88,1233.19,0.75,69200.0,11095000.0
1970.13,708.58,2955.45,9324.59,1240.59,0.75,69190.0,11122000.0
2029.78,729.11,2991.77,9340.22,1230.9,0.75,69310.0,10737000.0
2031.2,724.59,3036.13,9412.36,1238.19,0.75,68170.0,11150000.0
2028.54,708.75,3029.73,9368.99,1237.97,0.5,68800.0,11568000.0
2029.6,713.68,3044.31,9489.87,1231.49,0.5,68790.0,11405000.0
2065.08,735.72,3055.73,9552.05,1222.92,0.5,68990.0,12072000.0
2087.19,743.58,3080.82,9608.38,1219.62,0.5,68760.0,11525000.0
2147.0,737.66,3122.87,9682.91,1215.79,0.5,67780.0,11650000.0
2151.18,742.37,3112.35,9615.81,1216.39,0.5,67000.0,11785000.0
2181.87,749.31,3193.93,9814.08,1202.02,0.5,66840.0,11603000.0
2184.29,753.04,3232.39,9924.75,1195.35,0.5,65980.0,11680000.0
2188.92,753.82,3207.18,9953.75,1198.4,0.5,65830.0,11683000.0
2195.69,758.62,3190.14,10020.35,1190.67,0.5,66250.0,11738000.0
2176.78,757.06,3002.1,9492.73,1206.1,0.5,66690.0,11080000.0
2132.3,746.06,3041.31,9588.81,1203.66,0.5,67130.0,11393000.0
2030.82,693.15,3066.59,9726.02,1208.55,0.5,67250.0,11335000.0
2138.05,735.38,3124.74,9895.87,1211.79,0.5,67170.0,11451000.0
2141.05,735.4,3113.49,9910.53,1215.41,0.5,67580.0,11427000.0
2133.48,737.33,3115.34,9943.05,1212.5,0.5,67300.0,11338000.0
2141.32,742.03,3097.74,9946.12,1211.83,0.5,67380.0,11281000.0
2126.73,751.64,3117.86,10056.48,1209.41,0.5,68290.0,11597000.0
2131.24,753.23,3131.29,10131.37,1207.46,0.5,68230.0,11495000.0
2161.51,759.5,3050.33,9909.17,1206.08,0.5,68400.0,11230000.0
2112.37,750.36,3083.76,10017.0,1202.21,0.5,68500.0,11139000.0
2134.65,750.58,3009.05,9757.22,1203.8,0.5,68110.0,11027000.0
2093.48,734.69,3053.24,9874.15,1199.16,0.5,68500.0,10970000.0
2108.33,737.97,3100.29,10058.76,1199.28,0.5,68640.0,10914000.0
2106.7,727.58,3115.86,10154.63,1201.51,0.5,69170.0,11042000.0
2135.37,742.55,3130.01,10207.63,1198.75,0.5,68520.0,10867000.0
2187.93,759.9,3179.72,10433.65,1191.92,0.5,68530.0,11045000.0
2164.17,759.16,3145.32,10343.89,1196.75,0.5,68770.0,10971000.0
2158.88,765.96,3169.94,10492.5,1192.05,0.5,69170.0,11125000.0
2167.9,772.9,3152.05,10547.75,1196.98,0.5,69710.0,10950000.0
2150.25,772.81,3185.04,10617.44,1200.42,0.5,69710.0,11034000.0
2186.06,781.19,3155.22,10390.84,1203.37,0.5,69900.0,11000000.0
2183.61,778.39,3197.52,10488.58,1204.89,0.5,70000.0,11006000.0
2201.88,781.29,3226.56,10550.49,1200.5,0.5,70000.0,10975000.0
2183.76,775.07,3215.57,10473.83,1205.11,0.5,70300.0,10929000.0
2201.19,783.22,3224.73,10503.19,1203.44,0.5,70020.0,10927000.0
2198.2,781.96,3251.84,10767.09,1200.9,0.5,70250.0,10943000.0
2228.83,790.58,3257.3,10680.36,1193.92,0.5,70270.0,11120000.0
2228.66,794.99,3276.02,10706.13,1197.22,0.5,71700.0,11258000.0
